,0
405,365312009.0084594
406,646893010.0
407,1137403.0
408,323872679.0
409,6110010.0
410,4776637.662585607
411,1040000.0
412,7056571.0
413,203055149.4038286
414,1137790.0
415,30185339.52859283
416,101105010.49414057
417,10071007.09856324
418,1138183.0
419,15000000.0
420,81500000.0
421,100005500.53805195
422,243000000.0
423,286000000.0
424,100004.00059688708
425,105000000.0
426,76000000.0
427,2000000.0
428,190000.0
429,2100944772.2561467
430,0.000253000071578659
431,1040416.1038161187
432,1030000.0
433,2390000.0
434,3400000000.0
435,100004.00059688708
436,161609660.12287974
437,58600000.0
438,104391145.51378614
439,184775918.0
440,396000000.0
441,102853317.0
442,93342959.0
443,1000719512.0
444,2000000.0
445,117545300.51802742
446,1140439.0
447,81690465.0
448,1137401.0
449,10000000.0
450,1000000.0
451,1040000.0
452,427569999.0122396
453,10000.0
454,170000000.0
455,116000000.0
456,606790548.0472752
457,224473.0
458,217052366.23585263
459,1137790.0
460,188800000.0
461,272790201.0
462,307999973.0
463,93136976.0
464,1105999999.0162425
465,27500000.0
466,1040000.0
467,1900000.0
468,299862643.0
469,21200000.0
470,0.0017301239752340251
471,3893078.0
472,100773529.25573564
473,1137401.0
474,223200000.0
475,290608000.78284734
476,10553319767.0
477,35248134.0
478,1100.0
479,10050000.0
480,110511766.0
481,41710040688.223694
482,280692618.1709506
483,220001849.06878608
484,1144093.0
485,84905367.0
486,189000000.0
487,293426196.0
488,123608906.0
489,4682400.0
490,23423403.0
491,5017000000.0
492,48000000.0
493,20467810.0
494,120000.0
495,100000.0
496,450000000.0
497,2717151.0
498,130486352.0
499,1322500000.0
500,1020102.0100748006
501,100004.00059688708
502,32891843.0
503,251871559.0
504,0.001879478149414401
505,31794447.00063538
506,45590099.00106708
507,147982387.0
508,111167915.0
509,1135500.0
510,39021910.0
511,150486250.0
512,1137789.0
513,5288074.0
514,5497676.0
515,108814000.9485761
516,40900000.0
517,228687354.44102725
518,110101801.0
519,64793281.26693801
